date;employee_title;employee_status;review_title;pros;cons
2014-06-21;Industrial Relations;Former Employee, more than 3 years;Industrial Relations - ASC;"On-site amenities (cafeteria, gym, clinic, workshops, etc.).
";"Egos and corrupt practices. Individuals in managerial roles with ineffective and often questionable leadership capabilities (with the exception of Technical/R&D roles). Non-existent on-boarding process. Lack of vision and communication between ASC and Saudi Aramco. Political/Hierarchal organization (refrain from addressing organizational gaps and contributing ideas).
"
2014-05-05;Petroleum Engineer Sholarship;Current Employee, more than 3 years;I have a scholarship with Saudi Aramco;"I reached to them after high school. They have a restricted program for scholarship mostly for Saudi Students. Now I study Petroleum Engineering at LSU (Louisiana State University). The program is excellent, they provide every thing from monthly salary ( more than $2000) which increase by 15% when you finish half your major. They also take care of the tuition and they provide book allowance each semester that is $ 1000. The pay a close attention to their student with a visit each semester and a private meeting with each student to check up on them. They give also rewards each semester for those who perform well that ranges from ( 500$ to 1000$) depending on their GPA. At the last summer of your study, they refer their student to some of the large companies in U.S to do an internship. For me I have been offered Baker Hughes,Schlumberger and Exxon and I did an interview with BH and got accepted last week
";"Some times it is not easy to get a response from your supervisor. They give me a hard time when i try to ask for some information or permission to drop or add other courses. Also, it is true they provide an insurance but it lacks dental coverage.
"
2014-05-05;Research Geophyscist;Current Employee, more than 1 year;Research Geophysicist at Exepc ARC Saudi Aramco, Houston Research Center;"national company, steady, not a lot work, never laid off
";"poor salary to new empolyees, few staff and training class in Houston, or other place around the world.
"
2014-03-11;Technical Leader;Former Employee, more than 10 years;Fulfilling technical, commercial, and operational requirements over most of 22 years in Saudi Arabia and the US.;"I enjoyed working overseas and it was similar to my 13 years at Caltex (eight in Bahrain), but included one of the most magnificent desserts in the world. Also my family and I were always treated with consideration and rewards for work well done.
";"While praise and salary are appreciated, one must accept that they are developing a huge number of young, well educated people to a World-class level of project work, leaving expatriates in place to assist in the development of their young people. Also, much of the freedom an expatriate had always felt in years past is currently constrained due to the well known political difficulties the Middle-Eastern countries are facing.
"
2014-03-19;Anonymous;Former Employee, more than 10 years;Good place to start and learn.;"Lots of learning opportunities, great courses to get free of charge.
";"Too much favoritizing and it's who you know which is wrong! POLITICS everywhere and if you disagree, you are OUT!
"
2014-02-16;N/A;Former Employee;Intern;"Great work place and benefits
";"In some cases job title doesn't reflect responsibilities and tasks
"
2013-11-04;Research Geophysicist;Current Employee, less than 1 year;national company, secured job forever;"best of best benefits for experienced hires, especially for whoms will retire soon
";"non-expericed for graduate level new hires
"
2013-10-08;Anonymous;Former Employee, more than 3 years;Bureaucratic in processes;"High growth operations Total comp package
";"Tighten up on hiring processes Benchmark their expat comp elements - premium
"
2013-09-07;N/A;Current Employee;Monetary benefits not bad, stress, and management incompetencies high, political mess;"Monetary benefits Safe and secure for kids and families
";"Frozen Career path several layers of managements, and silos between divisions, departments, organisations and business lines that you feel helpless and stressed
"
2013-05-20;Anonymous;Current Employee, more than 5 years;I was a full-time employee;"Rewarding Compensation and friendly enviroment
";"It just the weather in Saudi Arabia
4 people found this review helpful
Helpful
Share
Repor"
2013-03-08;N/A;Current Employee;great;"one of the best companies in the kingdom
";"the company is very big to be coordinated
1 person found this review helpful
Helpful
Share
Repor"
2013-02-28;N/A;Current Employee;Summer trainee;"Good place to make a few bucks
";"no formal training conducted during the summer
1 person found this review helpful
Helpful
Share
Repor"
2012-06-06;Project Engineer II;Current Employee, more than 10 years;energy supplier;"best company in all aspect
";"the company is expanding and more work/manpower is needed.
"
2008-06-22;Geological Research Consultant;Current Employee;If you want to come here, be flexible and you will enjoy it.;;"ltant in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
Excellent benefits package, great community life, good schools, safe quiet surroundings, exposure to different cultures, good salary, interesting work and plenty of it. Great vacation package and easy to reach superb and exotic destinations (e.g., India, Nepal, China, Philippines, Thialand, other Gulf States, etc.). Friendly people. 401K is matched by company at 9%, retirement pension is outstanding and rare in today's corporate world. Can take lump sum payment at early retirement (10 years service and over 50 years of age).
Cons
You are away from the US. Some people find this disconcerting at first, but it does lessen with time. Prices in community are rising. Some communication problems. Some restrictions on daily westernized lifestyle.
"
2021-10-22;Senior Operations Advisor;Former Employee, more than 10 years;If you are dedicated and work with passion - Saudi Aramco is part of your family;"Great place to work with friendly and humble employees. Management is outstanding and has excellent interactions with employees.
";"Sometimes work is challenging, however, if you have a passion to succeed and meet the target, you become successful.
"
2021-10-21;Anonymous;Former Employee;General;"Job security and sound financial resources
";"Saudization as part of local government strategy
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Maintenance Planner and Supervisor;Current Employee, more than 10 years;Maintenance planner;"I had experienced in HVAC with DDC Metrial expeditor Multiy planner Cover some time Lead planner Menter for New generation
";"Experience 31 years old with company Retired
"
2021-10-18;Anonymous;Former Employee;Pro-Con;"Salary package is definitely outstanding
";"Limited Professional growth for expats
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Anonymous;Current Employee;Reviewr;"Provide good salary and benifets
";"Some time facing over load working
Be the first to find this review helpful
Helpful
Share
Repor"
