date;employee_title;employee_status;review_title;pros;cons
2021-09-20;Anonymous;Former Employee, more than 3 years;Good place to work;"Good place to work. Competitive salary and benefits
";"Lots of uncertainty about future company structure
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-07;Anonymous;Current Employee, more than 5 years;Good leadership new direction;"Larry Culps is a good CEO to work for. He leads with integrity which has positively trickled down to subsequent management. Great global teams.
";"There is a lot expected out of the employees but this is to be expected.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Sales Representative;Current Employee;GE Healthcare;"Strong training program for all employees
";"Employee focus could be better
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-26;Manager Digital Workplace;Current Employee, more than 3 years;A lot is changing. Great team environment;"Great people to work with. A true team environment. Open communication and opportunity to challenge yourself.
";"A lot is changing. Much Divestiture. Sites are there one day and gone the next - this is all intentional as they are redefining the GE focus. I feel they are heading the right way
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Manufacturing;Former Employee, more than 3 years;Solid;"Great company with strong culture and products
";"Can be overly internally competitive
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Data Analysis;Current Employee;J;"Working remote is very flexible
";"Process of things can be slow
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Anonymous;Former Employee, more than 10 years;Plenty of possibilities;"Big company, many opportunities for personal growth
";"lots of stress, can be difficult to maintain personal life - work balance
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Engineer;Current Employee, more than 3 years;Stressful working environment;"Pay is average and work is interesting
";"Work is interesting, requiring extensive outside knowledge and ability to perform tasks outside of job description.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Project Coordinator;Former Employee;Great company;"Wonderful to work for as a professional
";"None if you work hard and are willing to move to have opportunities
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Anonymous;Current Employee, more than 3 years;Great but many complexities;"Large company benefits Potential job mobility
";"Unclear direction Teams change a lot
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Chief of Staff;Current Employee;Intense;"Ongoing learning is as available
";"Work life balances hard to manage
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-13;Anonymous;Current Employee, more than 3 years;Amazing workplace and people, wide range of highly specialized functions;"1. employees are treated well, lot of mutual respect and trust 2. working in a highly specialized engineering based company 3. new leadership and changes for the better
";"1. might seem slow moving at times but completely dependent on team and environment 2. may not pay at the top end but good benefits and mental health is always on top
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Engineer;Current Employee;Great Employer;"Benefit, good work life balance
";"too many levels of management
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Janitorial;Former Employee;I found GE a good place to work.;"Proper PPE'S where always worn.
";"working on concrete was the worst that I found.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-07;Engineer;Current Employee;Good Place to work;"Large company, fairly stable, many different businesses
";"part of large organization, constant reorgs as expected of large company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Operations Management Leadership Program (OMLP);Former Employee, more than 3 years;Great Program;"Excellent Trainning gives you a lot of experience fast
";"Must move round to grow in the company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Maintenance Technician;Current Employee, more than 8 years;GE work;"great pay work isn't typically very hard
";"doesn't seem to very well organized
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Assembly and Test Technician;Current Employee;Great career.;"Great work environment and flexibly
";"Very high demanding and pressured work environment.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Engineer;Current Employee;Good company;"Good company to work, research culture
";"Work life balance is not good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Software Developer;Former Employee, more than 1 year;Would not recommend for anyone;"Competitive salary Has numerous businesses Many work locations Flexible work schedule
";"Not good enough work Always layoffs waiting to happen
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-08;Senior Engineer;Current Employee, more than 3 years;GE power at Windsor;"Not a lot of work
";"The pay is so low
Be the first to find this review helpful
Helpful
Share
Repor"
