date;employee_title;employee_status;review_title;pros;cons
2020-10-08;Maintenance Manager;Current Employee, more than 10 years;Horrible;"The pay is good compared to national average income
";"benefits are not competitive, pay is not competitive vs. industry, you will have no work life balance, you will not be recognized or rewarded for your achievements, ""borderless careers"" is fake, very political management environment, very top heavy management structure, so much overhead can not be competitive with other frac companies, bureaucratic, Schlumberger brags about buying companies but destroys them all just in my time i've seen them destroy 2 wireline companies, two coil tubing companies, Cameron, Mi Swaco, Smith, the list goes on. This is a profit at the expense of the employees company
"
2020-09-03;Schlumberger;Former Employee;Good company;"good benefits good time off
";"new to the service industry hard to grow within
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-03;Field Engineer;Former Employee;Field Engineer;"High income; 2 weeks on, 1 week off schedule
";"Lack of use of engineering degree; weather
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-17;Supply Specialist;Former Employee, more than 1 year;A Good Place to Apply What You Learned in SCM Curiculum;"Challenging, Flexible Hours depending on position, processes are open to improvement, competitive pay
";"Long hours some days, tight deadlines, raises and promotion based on project and online training that can take 2 years
"
2020-09-15;Technology Lead;Former Employee;Downward spiral;"Diversity, international experience, digital focus
";"Cost cutting, recurrent layoffs, uninspiring management
1 person found this review helpful
Helpful
Share
Repor"
2020-10-08;Project Manager;Former Employee, more than 10 years;Join with your exit plan in mind;"Strong company culture, international opportunities
";"Non-stop stressful work environment, cyclic industry
"
2020-09-17;Senior Mechanical Engineer;Former Employee, more than 1 year;OK company;"Large company Above than average pay
";"Prepare to leave if you are senior in salary, age or position. Lay off people without any mercy. Oil and Gas is dying and so does Schlumberger.
"
2020-09-17;Field Engineer;Former Employee, more than 1 year;Exactly what you expect;"Travel, schedule that allows for large swaths of time off (theoretically)
";"Long hours, misleading leadership, will extend a job offer for one thing but you end up in a completely different role.
"
2020-09-02;Field Engineer;Former Employee, more than 1 year;Good Company;"Great company to work for. Great training program
";"Really affected by the downturn of energy industry
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-16;Service Delivery;Former Employee;Good company;"It is a good company to work for
";"There is nothing negative to report
"
2020-08-30;Materials Manager;Former Employee, more than 8 years;Schlumberger;"Management empowers you to make decisions.
";"When market is bad, everyone knows layoffs are coming.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-31;Field Engineer;Former Employee, more than 5 years;Lots of opportunities;"Solid company to work for, really look after their employees
";"Favor women for promotions etc, promotions are generally based on time-served instead of performance or skill level which means there are some real morons that climb the ranks.
"
2020-08-30;Senior Financial Analyst;Current Employee, more than 5 years;Great company;"Great opportunities for growth if you are willing to relocate
";"High turn over in the last year
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-13;Facilities Manager;Former Employee, more than 5 years;Would not recommend;"Easy job, easy to meet KPI's.
";"Corporate to the max, your boss might care about you, but the machine only sees numbers
"
2020-08-28;Vice President Operations;Current Employee;Largest Oilfield services company;"International exposure for all employees
";"Oilfield going through a lean patch
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-28;Production Assembler;Current Employee, more than 3 years;Good place to work;"Good work/ life balance exceptional benefits
";"work stability is poor. When oil takes a hit economically, layoffs cut deep. not a lot of possibilities to advance within the company w/o engineering degree.
"
2020-08-28;Sales Representative;Former Employee, more than 5 years;Schlumberger;"Good work life balance during the week.
";"You have to deal with the downturns of the oilfield.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-27;IT Onsite Support Analyst L3;Former Employee, more than 10 years;Former long time employee;"Well managed and run company with a talented and diverse employee pool
";"Volatile Oil and Gas Business Climate
"
2020-09-10;Principal Research Scientist;Former Employee, more than 8 years;Used to be a great technology based company with great opportunities.;"Pretty diverse and used to put more emphasis on research and development.
";"The down turn in oil industry affects SLB's business significantly. Highly uncertain industry to be in
"
2020-10-01;Various Positions;Former Employee, more than 8 years;Culture needs improvement;"salary and good opportunity to learn different functions
";"culture still working on inclusion, keeping employees happy is not as important to this company.
"
2020-08-26;Manufacturing Technician;Former Employee, more than 8 years;Not loyal to employees;"Benefits are good, pay is decent
";"Not loyal to employees, hard to get raises, promotions, and transfers
"
2020-08-26;Wireline Field Engineer;Former Employee, more than 3 years;Wireline Field Engineer;"Base salary ok, job bonuses are really good if you run high profile services, keep in mind it will take a while before you start running high profile services.
";"A lot of stress, lack of support if you don't know the right people.
"
2020-08-26;Field Engineer;Former Employee;Good company;"A company that invests in your ability to learn.
";"Hours are sometimes very long.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-26;Training Manager;Former Employee, more than 8 years;Good company but hard cycles will immediately affect people.;"Expat. status, salaries, people, training in different countries.
";"Bureaucracy, HR business practices, lifestyle.
"
2020-08-25;Completions Field Engineer;Former Employee, less than 1 year;I loved my experience;"Training was world class Work with so many interesting people.
";"Work very hard Promotions take a while to go through
"
2020-08-25;Maintenance Engineer;Former Employee, less than 1 year;Good;"Good company to work at
";"No cons for me at schlumberger
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-24;Sales Account Lead;Former Employee, more than 8 years;Solid Career Opportunities;"Career Growth Potential. Competitive Salaries.
";"Large company where voice is not always heard
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-22;EO2;Current Employee, more than 1 year;Schlumberger;"Keep up the good work
";"None I can think of
"
2020-09-06;Field Service Technician;Current Employee, more than 3 years;Good money, Poor Work/Life balance;"Good pay, challenging work life
";"No work life balance whatsoever
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-21;Billing Specialist;Current Employee, more than 1 year;Positive;"Flexible hours, competitive salaries, multicultural environment
";"Long hours, lack of training
"
2020-08-20;Equipment Operator;Former Employee;Lots of hours good money;"Free flights, free food and man camp. Good money
";"Away from home for two weeks
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-20;IT Manager;Former Employee, more than 10 years;Progressive Company;"Global Opportunities, Diverse Workforce, Good Pay
";"Work Life Balance can be a challenge
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-03;Engineer;Current Employee, more than 3 years;Sales engineer;"Large company and experienced personnel
";"Long hours with a lot of competition
Be the first to find this review helpful
Helpful
Share
Repor"
